config_name,boost_lift,ensemble_w,file_conf_power,focal_alpha,focal_gamma,label_smoothing,mlp_alpha_blend,mlp_min_pos,mlp_pca_dim,name,proto_distill_weight,proto_n_epochs,proto_patience,rank_power,smoothing,use_boost
baseline,0.25,0.5,0.4,0.25,2.0,0.03,0.4,5,64,baseline,0.15,80,20,0.4,gaussian,True
ens_w_000_mlp_only,0.25,0.0,0.4,0.25,2.0,0.03,0.4,5,64,ens_w_000_mlp_only,0.15,80,20,0.4,gaussian,True
ens_w_015,0.25,0.15,0.4,0.25,2.0,0.03,0.4,5,64,ens_w_015,0.15,80,20,0.4,gaussian,True
ens_w_025,0.25,0.25,0.4,0.25,2.0,0.03,0.4,5,64,ens_w_025,0.15,80,20,0.4,gaussian,True
ens_w_075_proto_heavy,0.25,0.75,0.4,0.25,2.0,0.03,0.4,5,64,ens_w_075_proto_heavy,0.15,80,20,0.4,gaussian,True
mlp_alpha_060,0.25,0.5,0.4,0.25,2.0,0.03,0.6,5,64,mlp_alpha_060,0.15,80,20,0.4,gaussian,True
mlp_alpha_080,0.25,0.5,0.4,0.25,2.0,0.03,0.8,5,64,mlp_alpha_080,0.15,80,20,0.4,gaussian,True
mlp_pca_32,0.25,0.5,0.4,0.25,2.0,0.03,0.4,5,32,mlp_pca_32,0.15,80,20,0.4,gaussian,True
mlp_pca_128,0.25,0.5,0.4,0.25,2.0,0.03,0.4,5,128,mlp_pca_128,0.15,80,20,0.4,gaussian,True
mlp_minpos_3,0.25,0.5,0.4,0.25,2.0,0.03,0.4,3,64,mlp_minpos_3,0.15,80,20,0.4,gaussian,True
proto_short,0.25,0.5,0.4,0.25,2.0,0.03,0.4,5,64,proto_short,0.15,30,10,0.4,gaussian,True
proto_distill_heavy,0.25,0.5,0.4,0.25,2.0,0.03,0.4,5,64,proto_distill_heavy,0.3,80,20,0.4,gaussian,True
focal_g1,0.25,0.5,0.4,0.25,1.0,0.03,0.4,5,64,focal_g1,0.15,80,20,0.4,gaussian,True
focal_g3,0.25,0.5,0.4,0.25,3.0,0.03,0.4,5,64,focal_g3,0.15,80,20,0.4,gaussian,True
focal_a010,0.25,0.5,0.4,0.1,2.0,0.03,0.4,5,64,focal_a010,0.15,80,20,0.4,gaussian,True
focal_a050,0.25,0.5,0.4,0.5,2.0,0.03,0.4,5,64,focal_a050,0.15,80,20,0.4,gaussian,True
ls_0,0.25,0.5,0.4,0.25,2.0,0.0,0.4,5,64,ls_0,0.15,80,20,0.4,gaussian,True
ls_10,0.25,0.5,0.4,0.25,2.0,0.1,0.4,5,64,ls_10,0.15,80,20,0.4,gaussian,True
boost_soft,0.15,0.5,0.4,0.25,2.0,0.03,0.4,5,64,boost_soft,0.15,80,20,0.4,gaussian,True
no_scaling,0.25,0.5,0.0,0.25,2.0,0.03,0.4,5,64,no_scaling,0.15,80,20,0.0,gaussian,True
smooth_off,0.25,0.5,0.4,0.25,2.0,0.03,0.4,5,64,smooth_off,0.15,80,20,0.4,none,True
mlp_heavy_combo,0.15,0.25,0.4,0.25,2.0,0.03,0.6,5,64,mlp_heavy_combo,0.15,80,20,0.4,gaussian,True
mlp_only_clean,0.25,0.0,0.0,0.25,2.0,0.03,0.4,5,64,mlp_only_clean,0.15,80,20,0.0,none,False
proto_short_mlp_heavy,0.25,0.25,0.4,0.25,2.0,0.03,0.6,5,64,proto_short_mlp_heavy,0.15,30,10,0.4,gaussian,True
